ID,Designation,Comments
29,Assistant Manager,"1- Provide safety procedures (in case of emergency/unexpected event). 2- Follow the 'Go Green' clean environment policy by reducing the use of paper, inserting recycle bins at each section and reducin"
30,Assistant Manager,"A lot of things are done manually in our bank, we have to automate many things inorder to cope up with the competition"
31,Assistant Manager,- organising departments and everyone knows his responsibilities definitely  - focusing in regular problems and making on solving it not to deviate - upgrading bank system as the current one is very o
32,Assistant Manager,"1-Invest more in providing specialized training courses, instead of the current courses.  2-Spread more in the middle east will enhace its position being a leader islamic bank. 3- inovate more product"
33,Assistant Manager,IT Division Wise Cardiologist cannot operate as Ophthalmologist and vice versa. IT people should be specialized in their domain in order to have a better quality deliverables. I highly recommend segre
34,Assistant Manager,Employee Benefits  Hiring right person for right job and offering deserving designation/grade.
35,Assistant Manager,Customer Service to be improved to all customers that ABC serve their customers by all channels (Branches & other) in a friendly and helpful atmosphere.
36,Assistant Manager,Bring more balance between back and front office regarding resources Better offices (phisical work enviornment)
37,Assistant Manager,Staff Events and meeting. Raising salaries compared with the higher paid banks Giving a fixed raise on the basic salary yearly. 3% to 5%
38,Assistant Manager,Bank can start new business which is not presently.
39,Assistant Manager,"Should give good customer service without looking the nationality and nature of the customer, whether the customer is owner or a messenger of the company, they should treat both as a customer without"
40,Assistant Manager,"- employees should be differed on the grade scale on the previous experience, you cannot put different experiences within the same grade with the same pay."
41,Assistant Manager,Reward people on the basis of their competences and achievements. Stop implementing double standards. Care much of the islamic nature of the institution instead of looking for more dividend at any cos
42,Assistant Manager,1- Nurture the culture of Accountability and Ownership  2- Be fair in compensation to minimize the substantial gap between employees  3- Introduce the concept of Career Development
43,Assistant Manager,"First, they should be more considerate with the pay packages given to their staff and stop being cheap.  Secondly, they should stop cutting salaries for people who are late as this is considered by st"
44,Assistant Manager,"Strict and consistent policies and procedures. No ""cherry picking"" to favour one employee over others. Poor learning and development with lack of quality. No proper HR policies in place with salary an"
45,Assistant Manager,- Maintain our qualified staff through fair benefits and salaries matching with their skills and setup an extraordinary system to motivate them. -make clear strategy for the future career of the secon
46,Assistant Manager,"Absolute clarity on the banks direction coming from the board Empowerment to line managers/ front line staff to execute Be an innovative, learning organization, accepts mistakes from employees Embrace"
47,Assistant Manager,proper communication among departments team work create a proper incentive structure Senior managers should have more authority to do their works
48,Assistant Manager,Training & Development for senior managers is an absolute disaster and only based on personal initiatives. Performance review and compensation should be based on clearly defined milestones. Compensati
49,Assistant Manager,"Many ! clear strategic direction, less politics more banking, respecting emplyees, compensating employees by benchmarking against other banks or subsidiaries (where a Qinvest employee gets a multiple"
50,Assistant Manager,More clear processes across departments
51,Assistant Manager,"Customer Service wise: Franckly ABC still not number one in customer services, which is the important anchor to attract new customers & gain loyalty. Excellent services provided by competitor banks ar"
52,Assistant Manager,"Qatar is booming, and ABC have invested Ras industries, some real estate, syndications local and crossboarder, and can do better by making investments in real estate, petrochemicl industeis, industria"
53,Assistant Manager,"Our bank has to implement new technology ( new softwere and new tools, paper less offce etc ) to more competitive bank in the marker, currently we are using outdated software technology in our banking"
54,Assistant Manager,"IT Technology is the leader of future banking, so, utilization of modern technology is one of the main area where we can get faster, cheaper and accurate banking service which will satisfy our custome"
55,Assistant Manager,"Service Quality should be effectively implemented to show a better image of ABC and to increase the volume of our customer. In regards to the internal issues, i believe the worst thing ever is that re"
56,Assistant Manager,1- Total Quality Management. 2- Business Process Re-engineering. 3- Effective communication channels. 5- Appropriate Paying systems. 6- Investment on Employees .  7- Employees Motivation. 8- Employees
57,Assistant Manager,Better process.Professional approach.
58,Assistant Manager,Imporve on systems and applications used
59,Assistant Manager, 1- The Bank should appoint qualified employee from jnior to senior staff &   2- The Bank should give training for each staff on his respected field /dept.  3- The Bank should  Motivate the staff   4-
60,Assistant Manager,acknowledging each individual success and distinguishing exceptional achievements
61,Assistant Manager,"urgent fixs, not a future plan:  Internal:  Define clear processes/ roles and responsibilities/ job descriptions. Transparency in decision making. Tune decision making & financing process   Separate y"
62,Assistant Manager,"spend more on the marketing image of the bank, and invest more in technology"
63,Assistant Manager,they are doing a great job.
64,Assistant Manager,"1) Need to motivate staff, and their performance on monthly basis by Dep Head. 2) Should appreciate staff who have not taken any sick leave in the last 1,2,3,4,years by H.R 3) Should appreciate punctu"
65,Assistant Manager,"- getting in contact with employees to know their problems and needs. - improvement of departments locations, work environment - preparing more seminars and Training"
66,Assistant Manager,have clear policy to follow it
67,Assistant Manager,1. Improve Internal Communication 2. Transparant Grades/Salary Increases Policy
68,Assistant Manager,Develop ABC Sharia department bigger and stronger Make ABC compliant not only by transaction but also by attitude also (with the very basic requirement of JUSTICE)  Do not lie and cheat with staff App
69,Assistant Manager,finacial and non financial motivation more facilities
70,Assistant Manager,"Either the Bank ,truly & fairly,  develop the staff  career and their income, promotions up to the market standers ,or the bank should allow the staff to look for better opportunities with other Banks"
71,Assistant Manager,"-To have a fair performance apprasial that ignores % quotas determined by HR e.g 20% of the staff should be rated as excellent, 20% as good .etc. -GMs/senior managers should arrange for monthly meetin"
72,Assistant Manager,giving a clear job describtion for each employee
73,Assistant Manager,"- improve team work - Trasnperant communication with regards to the future - Recognizing good performance (not necessarily financial) - as an Islamic bank, assign dedicated prayer areas."
74,Assistant Manager,Recognize staff effort
75,Assistant Manager,Bank needs to have professional approach towards the work and also to provide better work atmosphere for the employees . Salaries and other benefits should be matched as per the market
76,Assistant Manager,Bank can optimise utilization of internal work forces talents  and skills.  ABC has lot of able and experience employees who can do better job than currently assigned to them
77,Manager,Recruit better people. Share information more (e.g. HR's hidden processes and procedures). Empower managers. Link pay to performance more closely. Fire people who fail to deliver.
78,Manager,Speed up Medical Claim and give a good way to track the payment. It takes too long that we forget if we got paid or not. We have the skill to move up in the bank but then someone new comes and takes t
79,Manager,Put a celaer startegy about every division and its plan for the coming 3 years
80,Manager,Recognize high performers / value adding key individuals Sharia'a compliance and principles Improve on accountability & priofessionalism  Improve in Service quality intermnaly and externaly  Refresh Q
81,Manager,"To execute its objectives with Islamic values in mind, reduce the anormally of salaries among the same grade staff, increase the job security of staff etc."
82,Manager,"- Bank should appreciate old skilled staff and improve their skills; - Bank should diversify it's revenues sources, and not to focus on the local market only."
83,Manager,"Measure the capacity vs. requirements and needs; with all the programs the bank is undertaking, the staff are overloaded with work disabling them from providing quality output; We end up delivering on"
84,Manager,Organization wide Information Security certification for ISO27001:2005
85,Manager,kept regular tranaing cources.
86,Manager,ABC should continue its strategic initiatives.
87,Manager,Retain valued employees and candidates. Compensation and raises be based on performance not on the period you have spent in ABC. evaluate employees 2 times a year
88,Manager,"1) Internal movement between departments should be made easier. If an employee want to move between departments for career growth, there should be adequate resources and procedures in place for him to"
89,Manager,"The Idea of discovering talent people should be available always through many channels like training,coaching,job rotation."
90,Manager,To improve compensation and benefits schemes. To improve training and development. To improve internal processes and systems. To achieve more effective coomunication within the bank. Cooperation betwe
91,Manager,Introduce a comprehensive core banking system Opening more branches to other countries
92,Manager,the bank should equal for there staffs. i have seen that some of the staffs are same grade and there is big difference in basic salary. there is some staffs waiting to get promtion more then 5yrs even
93,Manager,to track performance of each individuals
94,Manager,Treat employees fairly Better execution Better communication Clear roles and responsibilities
95,Manager,"•	Better training and development strategy •	Better rewarding schemes for the staff •                   Taking More care of the staff in terms of payments and appriciation"
96,Manager,Build the two way trust and respect relationship between staff and the organisation..
97,Manager,(1) Empolyees should get ABC shares at discounted rates.
98,Manager,"Marketing & Branding: Banks Intranet / Online banking needs improvement.  Technology: Robust systems -especially core banking ...Unless this is in place, all transformation currently management is foc"
99,Manager,"Having work all over the world - including other major Banks and financial institutions, I believe ABC as in Qatar itself is wonderful place. I suggest the following to improve employee productivity a"
100,Manager,"1) implement the ""will to Change"" policy through new young generation. 2) Truely evaluates and values its working man power"
101,Manager,"- How HR  employees are not responding to our call/emails? many employees are trying to communicate with HR but unfortunately, they never return back my communication (not me alone, but also other emp"
102,Manager,More Training to all employees because i feel that there is mixed information in different branches and that could be misleading to the customer. Transperency is key.
103,Manager,"employee salary must be upto market level to keep the moral up and encourage to do the best. Good Management , Employee satisfaction  and Growth"
104,Manager,improve communication across the different levels get people to focus more on work and less on showing off
105,Manager,Strategical plan to compete the financial market  and maintain its Islamic banking image internally and outside in the public.
106,Manager,Better tools (particularly IT technology) to improve efficiency. Better communication of ABC's strategies and how each catagory of staff/departments can contribute to it. Improve internal processes.
107,Manager,"Improve Salary, allocate yearly salary increase, Bonus based in P&L, improving working space set up, value its employee, support employee in their education initiative, develop career plan,"
108,Manager,DONT GIVE PROMISE TO THE CUSTOMER UNLESS COMPLETED OTHERWISE IT WILL BAD IMPACT ON THE BANK.
109,Manager,"better resource planning.  Less paper work.  Better collaberation tools (conference bridge line, better office space, better equipments LAPTOPS,  more equipped meeting rooms).  ability of emloyees to"
110,Manager,"1) invest more in people's education & training 2) recruit westerners and people with international experience 3) improve internal processes including communication, correspondence, IT, etc."
111,Manager,In order to go forward the bank should focus more on the System used for the accounts access and understanding the loans and deposits of the account. The used system is very old and needs to be change
112,Manager,IF CUSTOMER    RELATIONSHIP  STAFFS ( BR. MANAGER + ASS.BRMANAGER + CUSTOMER RELATED STAFFS)  ARE MORE  HAPPY & GIVE MORE GOOD SERVICE  OUR BANK CAN DO BETTER GOING FORWARD.  THANKS
113,Manager,We need to form a committee consisting of experienced persons on a particular field / related field to survey the other local banks particularly who are excelling in certain areas of business/operatio
114,Manager,To restructure the HR department to be accountable and capable to handle the requirements of the staff. To have a learning and development headed by a appropriately qualified invidual who understands
115,Manager,CLEAR CUT JOB RESBOSIBILITIES AND ACCOUNTABILITY CLEAR CAREER PATH RIGHT CANDIDATE AT RIGHT PLACE MOTIVATION (WITH PROMOTION AND OTHER BENEFITS) SYSTEM ADVANCEMENT MORE TRAINING AND SEMINARS IN THE AR
116,Manager,"advance technology ,freedome of work and desision under cost control.as per our department,"
117,Manager,"bank has enough exmployees stabd by to fill the posistions whenever it needs, branchs have always short of employees when one take leave or sick etc. some times the branches will take the employees fr"
118,Manager,Implement  a uniform policy  & procedure across all the branches. Adopt a CRM System. A complaint Managment System to retain customers. Remuniration system post sales. Service Level Agrements(SLAS)
119,Manager,Provide clear performance appriasal system based on real performance of duties rather than other factors.
120,Manager,"- Reduce politics - Invest in people with right skills for right jobs - push for one goal one team efforts (control divergent behaviour) - boost security of job - in case of performance, ensure it ref"
121,Manager,Financial approval process is too complicated. If Item is budgeted and budget is approved by management then there should be easy process to obtain approvals.
122,Manager,"Strategic plan for growth being in core business and own assets including staff, Average growth ratio is purely identified on every 5 to 8 years cycle. without interruption.  Training and Self-develop"
123,Manager,Packages to commensurate with work load re structuring of how the work is loaded Streamline processes and procedures as well as having these designed by someone who is neutral. A lot is left to some o
124,Manager,"Improve work environment and enforce a right fitment for each employee based on qualifications ,experience and employee achievements during his Service period in ABC and latest fitment program has bee"
125,Manager,It has to  continue same process as currently moving
126,Manager,try to maximum customer satisfaction.
127,Manager,-Identify the area of safe investment and focus on less risk markets.     -Expand the activities in local  markets. -Use Treasury department to generate more income by FX trading and all. -more involv
128,Manager,- Treat all employees failry and not based on Nationality
129,Manager,Provide good orientation and training
130,Manager,"1- Better communication, specially from the direct managers to deliver the picture clearly. 2- Trying to get the job done, instead of trying to point at each other mistakes. 3- Less talk, less rumors,"
131,Manager,1- Define the goal for each department individually and a common goal for ABC. 2 - Requlararly test the employee knowledge of processes and product information.
132,Manager,"Customer Services, Project Financing for mega projects, and Real Estate Development"
133,Manager,Improve IT systems Concentrate on improving the business Keep margins and increase volumes so that we do not fall behind previous years performance
134,President,"The bank should do re-assessment to the salaries as all over years experience (not only the inside the ABC), and great a direct red line channel to the employees to contact the HR for any complain abo"
135,President,-properly incentivizing sales people -align bonus schemes to competition levels -create and implement client coverage models between Business Groups and Segments -clear up carreer advancement prospect
136,President,treating equal
137,President,"Performace based rewarding should be encouraged, promises should be converted to reality, the employee should be encouraged to deliver more"
138,President,- Hire more resources for critical sections in it - Look at people that are low paid who has been in the bank for years where their salary stayed low and newer recent people get hired with much better
139,President,Look into developing the training process and assure employees compliance in attending these courses through obtaining relevant certified courses and certificates. i.e. Focus on financial/ managerial
140,President,-System Automation  -Communications between all bank's business units/functions should be improved. -Spread of awareness of the importance of following policies & procedures within bank's employees.
141,President,Implement the system and make it to one application where you dont need to access or remember all different passwords while using different different banking application as per current practice.
142,President,Try to focus on systems and automation and a better need and area based employment system and accordingly a better remuneration system.
143,President,"Equitable pay based on experience, and contribution and performance Clear career progress plan, provide sufficient training & development and opportunities to achieve the same All co-workers share in"
144,President,"Be open, honest and transparent through effective communication and proper rolling out (cascading) important info.   Shift its mind set from considering employees as ""cost"" to ""as valuable assets "" (w"
145,President,Conduct quarterly get together at department level and introduce employee recognition prograames based on monthly performance. Annual employee rating should be based on monthly performances and over a
146,President,support yje employee to do his best
147,President,1) Staff motivation should be implemented in department
148,President,Recognize the performers; The organization structure is very skewed and old mind set The right level of leadership and competency matrix needed is not available in every department Speed of recruitmen
149,President,HR should undterstand that salary is one of main factors toward motivation and better service (The bank said that they will pay upon market standards which is not correct) Be more transperent Create p
150,President,1- Improvement in communication with customers at front offices 2- Competitive  prices for customers  to compete market 3- Cut expenses from somewhere else  and  pay good benefits to staff
151,President,1.) H.R should track the attendance strictly the incoming and outgoing time should be monitored very very strictly. We see staff coming late to office  2.) Bank should have better pay practice. ABC sh
152,President,"As was seen in the previous, the bank staff will have to take trainning if there is new technology, and learn new procedures and features and apply in the existing system."
153,President,"1.	Bank need more professional staff and working atmosphere,  2.	Manager should be capable to coach their staff 3.	Training should be provided frequently  4.	Suggestion and reward system to be started"
154,President,- have better communications. - have more Automated processes - have more often staff gatherings to increase teamwork.
155,President,- provide school fee  - provide good infrastructure
156,President,Realize that junior employees are very important to achieve the high goals of the organization
157,President,Performance Review  - Audit S.M.A.R.T Objectives to Ensure they are Appropriate & Commensurate with Responsibilities - Audit Performance Scores to Ensure they are Commensurate with Achievement - Annua
158,President,1. Promotion criteria to be defined better. 2. Organisational processes to be stteamlined.
159,President,Hiring qualified Resources. motivate the staff
160,President,"Hire, Train and Retain  Clear business process Strong support teams (IT/Admin/Ops) Staff motivation and engagement"
161,President,Provide more banking services that are more accessible to the community and worldwide accepted.  Provide more adequate auditing in its services in which all these are islamically compliant.
162,President,Improve Execution / time to market (Better Program / Project Management) Improve Performance Measurement & Perfromance Appraisals  Improve Customer Service Cautious international expansion
163,President,investing in good staff individuals especially high potentials staff who have loyality to the institution and capabilities to grow.
164,President,Put a clear strategy and be faithful to their promise to employees and treats employees and managers equitably
165,President,employ expreniced staff who knows real islamic banking
166,President,"Provide adequate training to all staff members in different banking activities regardless of what task he or she is currently assigned to or performing, in order to prepare them capable to handle any"
167,President,"To Improve work environment, not to make it luxurious but to have all what is necessary to do the job appropriately.  To improve annual reward policies especially for business units where there is no"
168,President,"Have to reduce the processing time for a facility, and to provide the ficilities to the customer as soon as possible and with the expectations of the customer. have to increase the product portfolio."
169,President,-put in place an equitable pay scale (basic salary) in line with job responsibilities and peer group. -implement promotions in accordance with set criteria e.g. currently promotion are given to some s
170,President,Have a clear Vision
171,President,"communicate the strategy clearly to employees, bring about customer orientated culture, build sense of accountability among employees, transform to technology based systems, improve decision making at"
172,President,Founder staff history should be reviewed well an carefully by HR and Top management. As all new comming staff are considered as new blood to ABC although they came and learn from founders.  I have evi
